date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:16:48	312101/312101	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Dec%202023%2015:16:48%20GMT	https://visualgo.net/en/dfsbfs	C:/My%20Web%20Sites/end/visualgo.net/en/dfsbfs.html	(from )
22:16:48	24/24	---M--	200	added ('OK')	text/plain	etag:%22609aeddb-18%22	https://visualgo.net/robots.txt		(from )
22:16:49	16214/16214	---M--	200	added ('OK')	image/png	etag:%22609e5e9e-3f56%22	https://visualgo.net/img/png/dfsbfs.png	C:/My%20Web%20Sites/end/visualgo.net/img/png/dfsbfs.png	(from https://visualgo.net/en/dfsbfs)
22:16:49	2847/2847	---M--	200	added ('OK')	image/png	etag:%22609e5e9b-b1f%22	https://visualgo.net/img/favicon.png	C:/My%20Web%20Sites/end/visualgo.net/img/favicon.png	(from https://visualgo.net/en/dfsbfs)
22:16:49	195090/195090	---MCZ	200	added ('OK')	text/css	etag:W/%2261fd3a35-2fa12%22	https://visualgo.net/css/bootstrap.min.css	C:/My%20Web%20Sites/end/visualgo.net/css/bootstrap.min.css	(from https://visualgo.net/en/dfsbfs)
22:16:49	303/303	---MCZ	200	added ('OK')	text/css	etag:W/%22609e5eb3-6a1%22	https://visualgo.net/fonts/silkscreen/stylesheet.css	C:/My%20Web%20Sites/end/visualgo.net/fonts/silkscreen/stylesheet.css	(from https://visualgo.net/en/dfsbfs)
22:16:49	6219/6219	---MCZ	200	added ('OK')	text/css	etag:W/%2264df4c25-1f60%22	https://visualgo.net/css/common-1.0.2.css	C:/My%20Web%20Sites/end/visualgo.net/css/common-1.0.2.css	(from https://visualgo.net/en/dfsbfs)
22:16:50	5700/5700	---MCZ	200	added ('OK')	text/css	etag:W/%22643c968f-2255%22	https://visualgo.net/css/viz-1.0.4.css	C:/My%20Web%20Sites/end/visualgo.net/css/viz-1.0.4.css	(from https://visualgo.net/en/dfsbfs)
22:16:50	1407/1407	---MCZ	200	added ('OK')	text/css	etag:W/%22609e5eb0-6c0%22	https://visualgo.net/css/visual.css	C:/My%20Web%20Sites/end/visualgo.net/css/visual.css	(from https://visualgo.net/en/dfsbfs)
22:16:50	2153/2153	---MCZ	200	added ('OK')	text/css	etag:W/%22642a9376-c17%22	https://visualgo.net/css/drawgraph-1.0.2.css	C:/My%20Web%20Sites/end/visualgo.net/css/drawgraph-1.0.2.css	(from https://visualgo.net/en/dfsbfs)
22:16:50	2948/2948	---M--	200	added ('OK')	image/png	etag:%22609e5e9e-b84%22	https://visualgo.net/img/prevFrame.png	C:/My%20Web%20Sites/end/visualgo.net/img/prevFrame.png	(from https://visualgo.net/en/dfsbfs)
22:16:50	2880/2880	---M--	200	added ('OK')	image/png	etag:%22609e5e9e-b40%22	https://visualgo.net/img/pause.png	C:/My%20Web%20Sites/end/visualgo.net/img/pause.png	(from https://visualgo.net/en/dfsbfs)
22:16:51	2950/2950	---M--	200	added ('OK')	image/png	etag:%22609e5e9e-b86%22	https://visualgo.net/img/play.png	C:/My%20Web%20Sites/end/visualgo.net/img/play.png	(from https://visualgo.net/en/dfsbfs)
22:16:51	2944/2944	---M--	200	added ('OK')	image/png	etag:%22609e5e9d-b80%22	https://visualgo.net/img/nextFrame.png	C:/My%20Web%20Sites/end/visualgo.net/img/nextFrame.png	(from https://visualgo.net/en/dfsbfs)
22:16:51	2921/2921	---M--	200	added ('OK')	image/png	etag:%22609e5e9a-b69%22	https://visualgo.net/img/arrow_white_right.png	C:/My%20Web%20Sites/end/visualgo.net/img/arrow_white_right.png	(from https://visualgo.net/en/dfsbfs)
22:16:51	2936/2936	---M--	200	added ('OK')	image/png	etag:%22609e5e9b-b78%22	https://visualgo.net/img/goToBeginning.png	C:/My%20Web%20Sites/end/visualgo.net/img/goToBeginning.png	(from https://visualgo.net/en/dfsbfs)
